SampleID,Date,Month,Year,DayNight,OnOff,Timepoint,Pool,Treatment,Heat,CO2YN,Time.water.collected,Temp,HannapH,Salinity,DO,Light,HannapH_Tot,SpecpH_tot,Raw_TA,Corrected_TA,Calcite,Aragonite,Volume,seacarbCO2,fCO2,pCO2,fCO2pot,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
2241,7/8/19,July,2019,Day,On,3,5,Warming + CO2,H,C,13:25,18.1,-60.7,30.5,18.39,296,7.79,7.59,1865.23,1879.88147,1.925341279,1.232673312,8,23.09129448,658.9356573,661.2337165,658.9356573,1683.089688,77.87125804,1784.05224,1879.88147,1.228077637,1.918163189
2240,7/8/19,July,2019,Day,On,3,7,Unmanipulated,N,N,13:20,18.6,-112.3,30.51,19.82,242,8.68,8.49,1697.57,1710.904493,7.930177007,5.083467943,28,1.53276622,44.37375323,44.52743482,44.37375323,876.9260618,321.0372812,1199.496109,1710.904493,5.072578611,7.913189733
2239,7/8/19,July,2019,Day,On,3,8,Warming,H,N,13:15,18.5,-77.8,30.78,11.12,308,8.09,7.97,1785.59,1799.615894,3.378133956,2.166676475,7,9.853699813,284.8713047,285.8594164,284.8713047,1449.929534,136.8517304,1596.634964,1799.615894,2.15932907,3.366678391
2238,7/8/19,July,2019,Day,On,3,9,CO2,N,C,13:10,17.7,0.7,30.36,8.48,160,6.73,6.89,2477.24,2496.698837,0.242048698,0.154755989,3,393.6881306,11096.53935,11135.88655,11096.53935,2473.526116,9.782843227,2876.99709,2496.698837,0.154124233,0.241060591
2237,7/8/19,July,2019,Day,On,3,10,Unmanipulated,N,N,13:05,17.8,-93.4,30.62,12.49,141,8.36,7.98,1278.51,1288.552757,3.668588651,2.34792212,5.5,3.237658469,91.65294506,91.97358981,91.65294506,872.0480434,148.6578388,1023.943541,1288.552757,2.340760261,3.657398371
2236,7/8/19,July,2019,Day,On,3,11,Warming + CO2,H,C,13:00,17.9,-85.5,30.72,12.15,308,8.23,8.13,1535.37,1547.430404,3.629800817,2.324330499,14,5.775345073,164.0548101,164.6280763,164.0548101,1156.915776,147.1256081,1309.816729,1547.430404,2.316660431,3.617822812
2228,7/8/19,July,2019,Day,On,3,27,CO2,N,C,12:22,18.1,-17.2,30.57,16.28,255,7.04,7.18,2271.34,2289.181483,0.45728312,0.292830244,12.5,173.0243182,4939.335595,4956.644307,4939.335595,2244.308257,18.49777512,2435.83035,2289.181483,0.291647673,0.45543642
2235,7/8/19,July,2019,Day,On,3,13,Warming,H,N,12:56,17.4,-105.9,30.56,17.89,273,8.58,8.46,1644.44,1643.006537,6.519251823,4.167702345,22,2.145753142,60.02061509,60.23164682,60.02061509,950.0322666,264.3236366,1216.501656,1643.006537,4.156762194,6.502138877
2234,7/8/19,July,2019,Day,On,3,15,CO2,N,C,12:51,17.5,6.9,30.46,22.76,254,6.63,6.71,2567.01,2587.173985,0.198462476,0.126867285,5,516.3925247,14478.64145,14530.30047,14478.64145,2568.377188,8.028039252,3092.797752,2587.173985,0.126339903,0.197637476
2233,7/8/19,July,2019,Day,On,3,16,Warming,H,N,12:46,17.2,-64.8,30.39,6.65,240,7.87,7.76,1817.92,1832.199848,2.136178668,1.364312335,19.5,18.79440933,522.1592773,524.0007655,522.1592773,1612.372961,86.43645417,1717.603824,1832.199848,1.359110671,2.128034137
2225,7/8/19,July,2019,Day,On,3,31,Unmanipulated,N,N,12:07,18.3,-106.5,30.52,15.49,284,8.58,8.39,1610.98,1609.575705,6.503835623,4.166240093,6.5,2.028077482,58.21382871,58.41620586,58.21382871,915.6985855,263.3474841,1181.074147,1609.575705,4.156040814,6.487913725
2224,7/8/19,July,2019,Day,On,3,33,Warming,H,N,12:02,18.5,-87.9,30.16,13.94,231,8.26,7.98,1922.41,1920.73423,4.86178777,3.112469087,25,6.602746467,190.2400411,190.8998421,190.2400411,1427.777943,196.2280535,1630.608743,1920.73423,3.103193429,4.847298858
2223,7/8/19,July,2019,Day,On,3,35,CO2,N,C,11:55,19.3,-25.8,32.77,8.05,298,7.18,6.91,3079.98,3104.173389,0.924846059,0.597429457,9,160.5741798,4800.582056,4817.151554,4800.582056,3015.940901,37.90411665,3214.419197,3104.173389,0.594843164,0.920842366
2222,7/8/19,July,2019,Day,On,3,36,Warming + CO2,H,C,11:50,18.6,10.6,33.75,8.68,265,6.56,6.75,4520.66,4556.169998,0.329581457,0.212972655,19.5,1011.107534,29794.42464,29901.02031,29794.42464,4526.241127,13.60423949,5550.9529,4556.169998,0.211931252,0.327969857
1846,3/30/19,March,2019,Day,Off,3,5,Warming + CO2,H,C,15:33,13.2,-115.4,32.63,16.49,808,9.06,8.31,1608.79,1605.91,9.64051016,6.140430205,8,0.427209528,10.64668592,10.68616864,10.64668592,528.5949477,397.8707936,926.8929509,1605.91,6.129770346,9.623774141
1848,3/30/19,March,2019,Day,Off,3,7,Unmanipulated,N,N,15:41,12.6,-141.4,31.61,16.42,891,9.52,8.3,1381.66,1378.78,9.812130974,6.22686015,28,0.055961257,1.360636781,1.365721586,1.360636781,194.8879455,403.1640159,598.1079227,1378.78,6.224681087,9.808697284
1849,3/30/19,March,2019,Day,Off,3,8,Warming,H,N,15:44,14.3,-148.5,31.77,19.83,727,9.63,8.56,1467.85,1464.97,10.78989633,6.873644881,7,0.03314756,0.850649559,0.853760058,0.850649559,155.1793447,443.4126524,598.6251446,1464.97,6.873549798,10.78974709
1850,3/30/19,March,2019,Day,Off,3,9,CO2,N,C,15:49,9.9,-46.7,31.29,5.69,72,7.86,7.79,1903.15,1900.27,1.699167904,1.07211649,3,24.26263096,539.4689642,541.5578145,539.4689642,1721.97985,69.5733554,1815.815836,1900.27,1.068699444,1.693752325
1851,3/30/19,March,2019,Day,Off,3,10,Unmanipulated,N,N,15:51,11,-103.4,31.43,16.63,136,8.86,7.98,1451.36,1448.48,6.904517979,4.366531559,5.5,0.915162659,21.11462358,21.19517709,21.11462358,668.8934239,283.1565604,952.965147,1448.48,4.357808525,6.890724806
1899,3/31/19,March,2019,Day,Off,3,11,Warming + CO2,H,C,15:46,11,-114.4,31.37,20.99,410,9.06,8.35,1646.85,1643.97,9.659004864,6.107537301,14,0.510829351,11.78180251,11.82675031,11.78180251,591.3917357,396.185998,988.0885631,1643.97,6.098442689,9.644621854
1853,3/30/19,March,2019,Day,Off,3,13,Warming,H,N,15:58,11.2,-122.8,32.4,17.74,343,9.2,7.72,1446.57,1443.69,9.068021844,5.750786399,22,0.241337977,5.635646615,5.657091031,5.635646615,391.5125289,374.2330951,765.986962,1443.69,5.743832332,9.057056481
1854,3/30/19,March,2019,Day,Off,3,15,CO2,N,C,16:02,11.6,-85.5,31.76,11.99,72,8.54,7.65,1660.16,1657.28,5.437293157,3.445357151,5,2.994903444,70.58778535,70.85501654,70.58778535,1067.052344,223.1399994,1293.187247,1657.28,3.435232837,5.42131547
1855,3/30/19,March,2019,Day,Off,3,16,Warming,H,N,16:06,9.2,-96.7,30.99,15.47,62,8.75,7.84,1842.82,1839.94,7.655450477,4.820711207,19.5,1.91895748,41.60938539,41.77188612,41.60938539,1035.085382,313.4466674,1350.451007,1839.94,4.81210492,7.641783399
1907,3/31/19,March,2019,Day,Off,3,27,CO2,N,C,15:22,12.8,-120.3,32.82,19.27,365,9.15,8.19,1642.79,1639.91,10.45560827,6.657183246,12.5,0.312464991,7.69806673,7.726761398,7.69806673,471.8704005,432.2101431,904.3930085,1639.91,6.647399002,10.44024138
1911,3/31/19,March,2019,Day,Off,3,31,Unmanipulated,N,N,15:09,11.3,-132.9,32.13,23.56,199,9.38,7.9,1400.56,1397.68,9.503606074,6.024229805,6.5,0.110584774,2.586726576,2.596556684,2.586726576,271.5141638,391.7716307,663.3963792,1397.68,6.019889928,9.496759669
1913,3/31/19,March,2019,Day,Off,3,33,Warming,H,N,15:03,12.8,-116.7,34.08,20.63,311,9.08,7.25,1200.14,1197.26,6.649711083,4.244697066,25,0.265287986,6.582624058,6.607160865,6.582624058,344.816139,276.9763047,622.0577317,1197.26,4.237431175,6.638328417
1915,3/31/19,March,2019,Day,Off,3,35,CO2,N,C,14:57,9.9,-120,32.78,18.61,116,9.16,8.39,1326.02,1323.14,7.796516281,4.937448463,9,0.26853918,6.022291798,6.045596915,6.022291798,385.7600898,322.5209896,708.5496186,1323.14,4.930936275,7.786233133
1916,3/31/19,March,2019,Day,Off,3,36,Warming + CO2,H,C,14:54,8.5,-118.8,31.97,17.18,257,9.15,8.46,1620.31,1617.43,9.807738384,6.185122436,19.5,0.396815366,8.451018452,8.484324815,8.451018452,533.0295669,404.0629049,937.4892872,1617.43,6.178838731,9.797774307
2539,9/19/19,September,2019,Day,On,3,5,Warming + CO2,H,C,11:49,14.1,-14.6,24.84,13.07,264,7.02,6.74,2001.65,1994.825793,0.289543883,0.17979886,8,186.372913,4571.703913,4588.548135,4571.703913,1967.056036,11.40343261,2164.832381,1994.825793,0.179400695,0.288902687
2540,9/19/19,September,2019,Day,On,3,7,Unmanipulated,N,N,11:45,14.1,-72.7,26.62,10.22,323,8.04,7.83,1818.82,1812.619113,2.505583454,1.568143388,28,13.81586103,342.3111558,343.5665292,342.3111558,1562.527296,99.64852992,1675.991687,1812.619113,1.564037181,2.499022556
2541,9/19/19,September,2019,Day,On,3,8,Warming,H,N,11:41,14,-77.7,24.61,13.06,148,8.13,8.06,1679.32,1667.699929,2.639855373,1.637177485,7,10.3943537,253.8508942,254.7829516,253.8508942,1405.555949,103.889391,1519.839693,1667.699929,1.634167482,2.635001922
2542,9/19/19,September,2019,Day,On,3,9,CO2,N,C,11:37,14,6.9,15.55,11.97,74,6.64,6.64,2585.65,2576.834767,0.124540042,0.073268676,3,662.0617102,15365.14511,15422.49575,15365.14511,2566.347373,4.825343129,3233.234427,2576.834767,0.076166253,0.129465262
2543,9/19/19,September,2019,Day,On,3,10,Unmanipulated,N,N,11:34,13.8,-86.9,25.92,11,62,8.29,8.11,1819.3,1813.097477,3.94537649,2.460423798,5.5,7.187319338,175.7284785,176.3752911,175.7284785,1422.497876,156.4318622,1586.117057,1813.097477,2.455155846,3.936929146
2544,9/19/19,September,2019,Day,On,3,11,Warming + CO2,H,C,11:31,14.1,-81,27.59,10.9,121,8.18,8.05,1981.7,1974.943808,3.647098544,2.291443316,14,10.21465799,254.4697896,255.4029278,254.4697896,1613.705187,145.8287949,1769.748639,1974.943808,2.2850044,3.636850266
2545,9/19/19,September,2019,Day,On,3,13,Warming,H,N,11:27,13.9,-77.3,27.43,10.52,96,8.12,NA,1926.94,1920.370501,3.131010515,1.965167188,22,11.77071038,291.155891,292.2263307,291.155891,1608.772868,125.1122795,1745.655858,1920.370501,1.959655735,3.122229371
2546,9/19/19,September,2019,Day,On,3,15,CO2,N,C,11:23,13.8,-55.3,23.39,6.71,57,7.74,NA,1876.14,1863.158032,1.283694201,0.791059675,5,32.27765888,778.0122862,780.8778585,778.0122862,1739.89988,50.20372932,1822.381268,1863.158032,0.789876008,1.2817734
2547,9/19/19,September,2019,Day,On,3,16,Warming,H,N,11:19,13.8,-52.1,24.29,4.66,90,7.68,7.53,2012.04,1998.11767,1.233803772,0.763701501,19.5,39.54394005,958.0024517,961.5316635,958.0024517,1880.001549,48.48241024,1968.0279,1998.11767,0.762267685,1.231487366
2555,9/19/19,September,2019,Day,On,3,31,Unmanipulated,N,N,10:47,13.9,-74.3,11.84,10.4,107,8.07,6.35,1052.9,1049.310357,1.117522028,0.641153091,6.5,9.788267694,221.7703335,222.5856135,221.7703335,948.6562858,40.92316531,999.3677188,1049.310357,0.647507379,1.128597475
2556,9/19/19,September,2019,Day,On,3,33,Warming,H,N,10:43,14,-82.3,25.41,11.28,150,8.21,8.03,1767.2,1761.175101,3.298530845,2.053233066,25,8.730291309,214.1732243,214.9595638,214.1732243,1434.542895,130.3751457,1573.648332,1761.175101,2.048999926,3.291730279
2552,9/19/19,September,2019,Day,On,3,27,CO2,N,C,10:59,14,-69.4,22.5,12.54,100,7.98,7.98,1629.15,1617.877081,1.822444615,1.11834216,12.5,15.49806975,374.0260848,375.3995685,374.0260848,1440.118833,70.9079955,1526.524898,1617.877081,1.117116797,1.820447769
2557,9/19/19,September,2019,Day,On,3,35,CO2,N,C,10:39,14,-57.8,21.47,13.16,161,7.78,7.7,1934,1927.406431,1.399447393,0.853981509,9,31.12218805,746.7531106,749.4964364,746.7531106,1796.827954,54.14277501,1882.092917,1927.406431,0.853377958,1.398458328
2558,9/19/19,September,2019,Day,On,3,36,Warming + CO2,H,C,10:36,13.8,-63.2,29,8.36,168,7.87,7.36,2007.63,2000.785405,2.025378025,1.27829227,19.5,23.0172628,572.6186457,574.7272351,572.6186457,1797.385636,81.61887824,1902.021777,2000.785405,1.273802075,2.018263579