Month,Timepoint,Pool,Treatment,Pool_Volume,Percent_Cover,SA,Wet_Biomass,Norm_Biomass
March,0,5,Both,8,15,0.19,810,101.25
March,0,7,Control,28,8.695652174,0.45,469.5652174,16.77018634
March,0,8,Heat,7,15.78947368,0.23,852.6315787,121.8045112
March,0,9,CO2,3,84.61538462,0.135,4569.230769,1523.076923
March,0,10,Control,5.5,23.52941176,0.14,1270.588235,231.0160427
March,0,11,Both,14,26.66666667,0.32,1440,102.8571429
March,0,13,Heat,22,0.972222222,0.48,52.49999999,2.386363636
March,0,15,CO2,5,18.33333334,0.11,990.0000002,198
March,0,16,Heat,19.5,1.19047619,0.22,64.28571426,3.296703295
March,0,27,CO2,12.5,4.761904762,0.28,257.1428571,20.57142857
March,0,31,Control,6.5,10.41666667,0.21,562.5000002,86.53846157
March,0,33,Heat,25,18.18181818,0.49,981.8181817,39.27272727
March,0,35,CO2,9,11.11111111,0.23,599.9999999,66.66666666
March,0,36,Both,19.5,6.730769231,0.22,363.4615385,18.63905326
July,3,5,Both,8,35,0.19,1890,236.25
July,3,7,Control,28,7.547169811,0.45,407.5471698,14.55525606
July,3,8,Heat,7,13.04347826,0.23,704.347826,100.621118
July,3,9,CO2,3,64.28571429,0.135,3471.428572,1157.142857
July,3,10,Control,5.5,16.66666667,0.14,900.0000002,163.6363637
July,3,11,Both,14,7.894736842,0.32,426.3157895,30.45112782
July,3,13,Heat,22,0.487804878,0.48,26.34146341,1.197339246
July,3,15,CO2,5,15.38461538,0.11,830.7692305,166.1538461
July,3,16,Heat,19.5,0.588235294,0.22,31.76470588,1.628959276
July,3,27,CO2,12.5,8.823529412,0.28,476.4705882,38.11764706
July,3,31,Control,6.5,32.8,0.21,1771.2,272.4923077
July,3,33,Heat,25,28.81355932,0.49,1555.932203,62.23728813
July,3,35,CO2,9,2.580645161,0.23,139.3548387,15.48387097
July,3,36,Both,19.5,12.5,0.22,675,34.61538462
September,6,5,Both,8,32.90322581,0.19,1776.774194,222.0967742
September,6,7,Control,28,15.51724138,0.45,837.9310345,29.92610838
September,6,8,Heat,7,15.38461538,0.23,830.7692305,118.6813186
September,6,9,CO2,3,47.82608696,0.135,2582.608696,860.8695653
September,6,10,Control,5.5,13.91304348,0.14,751.3043479,136.6007905
September,6,11,Both,14,10.47619048,0.32,565.7142859,40.40816328
September,6,13,Heat,22,8,0.48,432,19.63636364
September,6,15,CO2,5,4.444444444,0.11,240,48
September,6,27,CO2,12.5,5.454545455,0.28,294.5454546,23.56363637
September,6,31,Control,6.5,21.18644068,0.21,1144.067797,176.0104303
September,6,33,Heat,25,28.84615385,0.49,1557.692308,62.30769232