SampleID,Date,Month,Year,DayNight,OnOff,Timepoint,Completed,MissingT,Pool,Treatment,Heat,CO2YN,SA,Volume,DeltaVolume,Time.water.collected,Time.water.collected2,Temp,HannapH_raw,Salinity,DO,Light,HannapH,SpecpH_tot,Raw_TA,Corrected_TA,Calcite,Aragonite,Raw.TA,CorrectedTA,CorrectedNN,CorrectedNitrite,CalculatedNitrate,Phosphate,NH4,Date_Time,TADeltaTime,DeltaTime,DeltaNN,DeltaNH4,DeltaPO,DeltapH,DeltaTA_N_Norm,NEC.mmol.m2.hr,seacarbCO2,fCO2,pCO2,fCO2pot,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
2276,7/9/19,July,2019,Night,On,3,N,T2,27,CO2 Addition,N,C,0.28,0.0125,0.01175,2:18,2:18:00,15.9,2.3,30.62,3.15,0,6.71,6.9,2195.17,2193.256465,0.193990053,0.123615538,2195.17,2193.256465,0.0695,0.0763,0,0.348,2.073033708,7/9/19 2:18,92.349875,2.616666667,-0.1425,-0.393258427,0.006,-0.41,-92.08711657,-0.7553982,376.4380697,10076.18893,10112.69515,10076.18893,2174.258435,7.71850249,2558.415008,2193.256465,0.120721298,0.189448119
2285,7/9/19,July,2019,Night,On,3,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00475,1:40,1:40:00,15.3,-18.8,30.29,2.37,0,7.09,7.23,2147.75,2145.877801,0.44,0.28,2147.75,2145.877801,-0.0269,0,0,4.04,2.675977654,7/9/19 1:40,124.453412,2.633333333,-0.6989,0.391061453,3.03,-0.16,-119.4833735,-0.787431622,154.1796291,4045.594738,4060.266355,4045.594738,2099.453626,17.32705431,2270.960309,2145.877801,0.270755847,0.425874121
2284,7/9/19,July,2019,Night,On,3,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01325,1:45,1:45:00,15.3,-23.8,30.57,3.09,0,7.17,7.3,2093.04,2108.371,0.52,0.33,2093.04,2108.371,0.336,0.0419,0.2941,1.13,2.273743017,7/9/19 1:45,7.216863,2.633333333,-0.03,-0.446927374,0.07,-0.24,-6.659935626,-0.053564337,125.2450521,3291.507774,3303.43472,3291.507774,2056.421648,20.5496978,2202.216398,2108.371,0.32082897,0.504212898
2283,7/9/19,July,2019,Night,On,3,Y,N,13,Warming,H,N,0.48,0.022,0.02125,1:49,1:49:00,15.4,-28.7,30.58,2.92,0,7.26,7.35,2071.84,2087.1548,0.63,0.4,2071.84,2087.1548,0.76,0.00698,0.75302,1.05,1.43575419,7/9/19 1:49,47.90707,2.633333333,-0.44,-0.893854749,0.438,-0.31,-46.57721525,-0.400526281,99.96071353,2635.126917,2644.656414,2635.126917,2024.12571,24.98651802,2149.072941,2087.1548,0.39021143,0.61310303
2282,7/9/19,July,2019,Night,On,3,Y,N,15,CO2 Addition,N,C,0.11,0.005,0.00425,1:53,1:53:00,15.5,-5.5,30.58,3.75,0,6.85,6.96,2256.36,2271.6586,0.27,0.17,2256.36,2271.6586,2.68,0,2.68,1.89,2.508379888,7/9/19 1:53,-39.01882,2.65,1.974,0.111731843,0.31,0.15,41.50108816,0.309496323,284.1579926,7513.519457,7540.802525,7513.519457,2243.766121,10.81709309,2538.741206,2271.6586,0.168984101,0.265451285
2281,7/9/19,July,2019,Night,On,3,Y,N,16,Warming,H,N,0.22,0.0195,0.01875,1:57,1:57:00,15.4,-22,30.65,2.65,0,7.14,7.31,2276.95,2274.965177,0.52,0.33,2276.95,2274.965177,1.2,0,1.2,0.841,3.067039106,7/9/19 1:57,-13.848944,2.616666667,-3.77,-4.636871509,-0.429,-0.18,13.85781551,0.230871648,144.6335326,3814.264533,3828.076162,3814.264533,2223.270056,20.8557723,2388.759361,2274.965177,0.325627817,0.511523937
2306,7/10/19,July,2019,Night,On,3,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00575,2:16,2:16:00,15.6,-21.2,29.67,2.43,0,7.13,7.1,2064.49,2062.690379,0.46,0.29,2064.49,2062.690379,0.129,0.00519,0.12381,1.07,3.814606742,7/10/19 2:16,103.772916,2.8,-2.231,-4.550561797,0.169,-0.26,-101.1153542,-0.505770232,135.02609,3562.935194,3575.800516,3562.935194,2016.713457,18.17128636,2169.910833,2062.690379,0.284761353,0.448480466
2305,7/10/19,July,2019,Night,On,3,Y,N,33,Warming,H,N,0.49,0.025,0.02425,2:11,2:11:00,15.7,-22.5,29.52,2.02,0,7.15,7.07,2146.15,2125.086924,0.5,0.31,2146.15,2125.086924,-0.303,0,0,1.67,1.202312139,7/10/19 2:11,147.957521,2.8,-0.634,-3.641618497,1.211,-0.3,-142.5279025,-1.288555603,132.6083075,3506.762378,3519.408053,3506.762378,2075.356205,19.58041848,2227.544931,2125.086924,0.307081385,0.483763036
2304,7/10/19,July,2019,Night,On,3,Y,N,35,CO2 Addition,N,C,0.23,0.009,0.00825,2:08,2:08:00,16.3,10.1,31.25,1.86,0,6.58,6.89,3245.99,3243.160462,0.22,0.14,3245.99,3243.160462,0.827,0,0.827,0.817,0.971098266,7/10/19 2:08,86.951517,2.816666667,0.242,0,0.548,-0.49,-85.613517,-0.557671737,740.9990389,20143.00932,20216.41532,20143.00932,3222.66195,8.748275305,3972.409264,3243.160462,0.136709078,0.21396416
2303,7/10/19,July,2019,Night,On,3,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01875,2:05,2:05:00,16.4,3.2,31.57,2.72,0,6.7,6.78,3374.46,3341.341855,0.3,0.19,3374.46,3341.341855,0.333,0,0.333,0.486,2.843575419,7/10/19 2:05,-256.277365,2.85,-0.463,-0.726256983,-1.324,-0.17,253.892622,3.883554909,574.8073725,15699.63014,15756.49919,15699.63014,3313.554795,11.99784783,3900.360015,3341.341855,0.187328552,0.292871164
2289,7/9/19,July,2019,Night,On,3,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00725,1:25,1:25:00,15.3,-14.2,29.86,3.66,0,7.01,7.07,2283.65,2281.659336,0.38,0.24,2283.65,2281.659336,2.26,0.0843,2.1757,25.2,15.34636872,7/9/19 1:25,226.321089,2.666666667,0.64,7.374301681,24.349,-0.17,-184.3573907,-1.349341458,197.0956136,5159.287127,5178.020577,5159.287127,2222.118366,15.08791873,2434.301898,2281.659336,0.236072957,0.37181586
2288,7/9/19,July,2019,Night,On,3,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02725,1:30,1:30:00,15.6,-33.5,30.54,3.23,0,7.34,7.4,2092.12,2090.296294,0.76,0.48,2092.12,2090.296294,0.00614,0,0.00614,0.403,1.994413408,7/9/19 1:30,23.125328,2.683333333,-0.49086,-1.173184357,-0.45,-0.4,-23.34300364,-0.269452206,82.42792744,2185.597469,2193.477377,2185.597469,2015.205071,30.10773499,2127.740733,2090.296294,0.470556717,0.739106969
2287,7/9/19,July,2019,Night,On,3,Y,N,8,Warming,H,N,0.23,0.007,0.00625,1:33,1:33:00,15.6,-29.5,30.64,3.82,0,7.27,7.33,2090.35,2088.527836,0.65,0.41,2090.35,2088.527836,0.393,0.216,0.177,1.35,2.38547486,7/9/19 1:33,0.879232,2.666666667,-0.165,-1.452513967,0.51,-0.42,1.428281967,0.007444629,97.12841197,2576.820141,2586.114582,2576.820141,2023.214188,25.79260811,2146.135208,2088.527836,0.402983194,0.632782841
2286,7/9/19,July,2019,Night,On,3,Y,N,9,CO2 Addition,N,C,0.135,0.003,0.00225,1:37,1:37:00,15.3,-10.2,30.46,3.52,0,6.94,7,2452.46,2450.322184,0.36,0.23,2452.46,2450.322184,1.92,0.382,1.538,9.96,19.59217877,7/9/19 1:37,386.362912,2.666666667,-0.76,2.51396648,6.6,-0.18,-376.4368785,-1.203421646,249.2962099,6547.616907,6571.427674,6547.616907,2407.518246,14.12722923,2670.941686,2450.322184,0.220636859,0.346864445
1796,3/27/19,March,2019,Night,Off,3,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00475,0:32,0:32:00,6.5,-18,30.61,2.32,0,7.35,7.22,1878.14,1875.26,0.49,0.3,1878.14,1875.26,6.96,0.463,6.497,2.99,20.7,3/27/19 0:32,106.445,3.55,-0.38,7.819,0.79,-0.75,-113.064,-0.552722577,91.53803131,1804.943485,1812.26029,1804.943485,1821.998269,19.54363836,1933.079938,1875.26,0.29897034,0.477240821
1797,3/27/19,March,2019,Night,Off,3,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01325,0:28,0:28:00,7,-32.8,30.61,3.32,0,7.62,7.17,1804.59,1801.71,0.87,0.54,1804.59,1801.71,2.13,0,2.13,1.43,5.98,3/27/19 0:28,194.875,3.583333333,0.07,-4.303,-0.06,-0.81,-190.622,-1.126671608,45.50567116,913.1252341,916.7990339,913.1252341,1709.683966,34.83745326,1790.02709,1801.71,0.533315317,0.850718608
1798,3/27/19,March,2019,Night,Off,3,Y,N,13,Warming,H,N,0.48,0.022,0.02125,0:23,0:23:00,7.9,-47.1,30.59,5.06,0,7.87,7.37,1803.85,1800.97,1.53,0.96,1803.85,1800.97,0.385,0,0.385,1.49,8.91,3/27/19 0:23,-30.725,3.616666667,-2.365,2.292,-0.12,-0.63,25.828,0.161713259,23.96137213,495.9663684,497.9374748,495.9663684,1639.715979,61.5516203,1725.228972,1800.97,0.943667407,1.503376243
1800,3/27/19,March,2019,Night,Off,3,Y,N,15,CO2 Addition,N,C,0.11,0.005,0.00425,0:13,0:13:00,8.6,-32.7,30.94,7.52,0,7.61,7.78,1867.14,1864.26,0.94,0.59,1867.14,1864.26,7.03,0,7.03,1.5,17.9,3/27/19 0:13,-16.275,3.65,1.77,10.26,-0.08,-0.65,7.625,0.041284675,45.91757609,975.396068,979.2391889,975.396068,1765.422106,37.77390747,1849.11359,1864.26,0.57934698,0.921040542
1801,3/27/19,March,2019,Night,Off,3,Y,N,16,Warming,H,N,0.22,0.0195,0.01875,0:09,0:09:00,7.2,-35.8,30.21,4.84,0,7.67,7.32,1928.35,1925.47,1.03,0.65,1928.35,1925.47,9.7,0,9.7,1.36,11.45,3/27/19 0:09,-21.085,3.666666667,5.64,3.535,-0.43,-0.62,22.33,0.265485938,43.07652927,868.3912823,871.8757585,868.3912823,1818.103692,41.47803897,1902.65826,1925.47,0.635695555,1.01495101
1724,3/26/19,March,2019,Night,Off,3,Y,N,27,CO2 Addition,N,C,0.28,0.0125,0.01175,23:54,23:54:00,7.5,-68.6,31.68,7.42,0,8.26,7.26,1873.31,1897.545,3.518861814,2.21411396,1873.31,1897.545,0,0,0,1.39,5.77,3/26/19 23:54,-84.12,3.05,-0.561,3.78,0.622,-0.28,81.023,0.57020885,9.100968285,186.9818174,187.728597,186.9818174,1529.240408,142.5073089,1680.848685,1897.545,2.177591376,3.46081696
1728,3/26/19,March,2019,Night,Off,3,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00575,23:34,23:34:00,7,-55.4,31.73,5.58,0,8.03,7.88,1780.29,1804.525,2.103671251,1.322865888,1780.29,1804.525,0,0,0,1.36,9.782,3/26/19 23:34,-39.25,3.133333333,-0.805,4.265,0.16,-0.53,34.5,0.154207922,16.18557316,326.9138444,328.2283006,326.9138444,1580.79896,85.13742448,1682.121958,1804.525,1.299854387,2.067077491
1730,3/26/19,March,2019,Night,Off,3,Y,N,33,Warming,H,N,0.49,0.025,0.02425,23:25,23:25:00,7.7,-32,31.67,4,0,7.6,7.06,1639.41,1663.645,0.801938931,0.504727536,1639.41,1663.645,0,0,0,2.58,9.333,3/26/19 23:25,-18.41,3.166666667,-0.893,1.771,1.13,-0.84,18.006,0.143938243,42.61744949,881.5961351,885.1104957,881.5961351,1574.923495,32.35704965,1649.897994,1663.645,0.494594358,0.78583878
1732,3/26/19,March,2019,Night,Off,3,Y,N,35,CO2 Addition,N,C,0.23,0.009,0.00825,23:16,23:16:00,7.1,-65.4,31.66,5.01,0,8.2,7.82,1868.58,1892.815,3.092879665,1.944843544,1868.58,1892.815,0,0,0,0.861,4.62,3/26/19 23:16,126.05,3.183333333,-0.432,1.795,-0.108,-0.45,-128.493,-0.740575095,10.83916583,219.6015006,220.4832127,219.6015006,1568.994073,125.2703968,1705.103636,1892.815,1.913209633,3.042572337
1733,3/26/19,March,2019,Night,Off,3,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01875,23:11,23:11:00,6.7,-88.9,31.37,10.88,0,8.63,7.69,1943.76,1967.995,6.634385371,4.166215583,1943.76,1967.995,0.00407,0,0.00407,0.664,4.737,3/26/19 23:11,-10.1,3.166666667,-1.50593,-2.193,-0.108,-0.16,10.57107,0.145526079,3.337687888,66.57122529,66.83987981,66.57122529,1282.670921,269.3363029,1555.344912,1967.995,4.114250423,6.551634769
1792,3/27/19,March,2019,Night,Off,3,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00725,0:53,0:53:00,7.6,-30,30.56,3.16,0,7.57,7.12,1768.23,1765.35,0.778049064,0.488116576,1768.23,1765.35,0.695,0,0.695,1.78,10.73,3/27/19 0:53,22.945,3.35,-0.305,2.84,0.53,-0.78,-25.03,-0.145829735,49.45330188,1012.916708,1016.960431,1012.916708,1682.04088,31.24640176,1762.740583,1765.35,0.478842286,0.763266011
1793,3/27/19,March,2019,Night,Off,3,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02725,0:47,0:47:00,7,-82.9,30.48,7.86,0,8.52,7.92,1876.58,1873.7,5.295908561,3.318730329,1876.58,1873.7,0,0,0,0.544,3.33,3/27/19 0:47,124.285,4.433333333,-0.329,-2.416,-0.586,-0.12,-123.37,-0.861943521,4.447619516,89.17903271,89.53751279,89.17903271,1325.533401,213.8439633,1543.824984,1873.7,3.274567376,5.225434929
1794,3/27/19,March,2019,Night,Off,3,Y,N,8,Warming,H,N,0.23,0.007,0.00625,0:42,0:42:00,7.2,-64.8,30.37,3.75,0,8.19,7.51,1903.88,1901,2.998896982,1.879213808,1903.88,1901,0,0,0,0.898,3.06,3/27/19 0:42,86.615,3.416666667,-0.408,-1.896,0.115,-0.39,-84.897,-0.34537234,11.36667135,229.3577662,230.2774495,229.3577662,1591.268394,120.6993889,1723.334455,1901,1.849248122,2.951076987
1795,3/27/19,March,2019,Night,Off,3,Y,N,9,CO2 Addition,N,C,0.135,0.003,0.00225,0:37,0:37:00,6.7,-16.5,30.51,2.41,0,7.33,7.24,2047.85,2044.97,0.510476139,0.319786219,2047.85,2044.97,15.3,1.16,14.14,4.93,45.42,3/27/19 0:37,161.945,3.55,7.45,31.524,2.62,-0.63,-180.779,-0.434124218,104.1497306,2066.878476,2075.237385,2066.878476,1988.478743,20.48117757,2113.109651,2044.97,0.31346667,0.500388216
2480,9/21/19,September,2019,Night,On,3,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00475,0:45,0:45:00,12.2,-20.7,20.17,2.23,0,7.14,7.34,2221.61,2199.806333,0.35319079,0.213184543,2221.61,2199.806333,0.468,0,0.468,3.54,10.4,9/21/19 0:45,186.768817,2.65,-0.74446,6.284,2.28,-0.16,-189.237277,-1.239287383,174.5055783,3925.439353,3940.248028,3925.439353,2165.150203,13.40130497,2353.057086,2199.806333,0.209671219,0.347370135
2481,9/21/19,September,2019,Night,On,3,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01325,0:48,0:48:00,12.4,-23.7,25.65,1.46,0,7.19,7.31,2126.65,2105.778304,0.434718017,0.270035903,2126.65,2105.778304,0,0,0,0.9,0.63,9/21/19 0:48,95.493504,2.633333333,-0.646167,-2.716,-0.14,-0.22,-93.703671,-0.753637164,136.2806335,3182.94825,3194.915385,3182.94825,2063.702383,16.94771102,2216.930728,2105.778304,0.264797591,0.426285106
2482,9/21/19,September,2019,Night,On,3,Y,N,13,Warming,H,N,0.48,0.022,0.02125,0:51,0:51:00,13,-31.6,28.29,1.69,0,7.32,NA,2107.65,2086.964777,0.625083914,0.392898479,2107.65,2086.964777,0.0856,0,0.0856,0.887,2.09,9/21/19 0:51,57.292142,2.616666667,-1.33707,-0.493,0.324,-0.34,-57.488212,-0.497500744,94.57927089,2285.463286,2293.981829,2285.463286,2025.253708,24.6661748,2144.499153,2086.964777,0.384605489,0.61189014
2483,9/21/19,September,2019,Night,On,3,Y,N,15,CO2 Addition,N,C,0.11,0.005,0.00425,0:54,0:54:00,12.7,-36.4,23.04,2.6,0,7.41,7.35,1781.99,1764.500919,0.568718239,0.349083999,1781.99,1764.500919,5.55,0,5.55,1.4,4.08,9/21/19 0:54,137.972468,2.616666667,1.95516,0.036,0.11,-0.12,-135.833308,-1.025887548,69.95546243,1625.348136,1631.425211,1625.348136,1708.871489,21.87812257,1800.705074,1764.500919,0.342825194,0.558521564
2484,9/21/19,September,2019,Night,On,3,Y,N,16,Warming,H,N,0.22,0.0195,0.01875,0:57,0:57:00,13,-35.3,16.55,1.49,0,7.39,7.37,2106.61,2085.934984,0.555212867,0.328159952,2106.61,2085.934984,0.535,0,0.535,1.03,3.49,9/21/19 0:57,71.035919,2.6,-0.32074,0.959,0.525,-0.11,-71.265659,-1.19489897,94.11074336,2127.921967,2135.851942,2127.921967,2035.595303,21.44798303,2151.154029,2085.934984,0.336728182,0.569709427
2489,9/21/19,September,2019,Night,On,3,Y,N,27,CO2 Addition,N,C,0.28,0.0125,0.01175,1:13,1:13:00,12.3,-26.5,22.45,2.21,0,7.24,7.25,1973.25,1953.883826,0.417525578,0.255296401,1973.25,1953.883826,0,0,0,0.998,0.49,9/21/19 1:13,-66.015677,2.55,-0.637886,-1.36,0.364,-0.38,67.465791,0.56789613,118.0475122,2698.755998,2708.910366,2698.755998,1914.066044,16.03281243,2048.146369,1953.883826,0.250901733,0.410338301
2492,9/21/19,September,2019,Night,On,3,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00575,1:24,1:24:00,12.4,-20.9,7.56,2.75,0,7.14,7.72,1347.41,1334.186041,0.152546946,0.085082245,1347.41,1334.186041,4.24,0,4.24,2.48,6.91,9/21/19 1:24,-635.590264,2.516666667,3.533318,-0.45,0.92,-0.21,641.413582,3.569493891,134.7119998,2839.072743,2849.742984,2839.072743,1321.229499,4.834606616,1460.776105,1334.186041,0.076195287,0.136613206
2493,9/21/19,September,2019,Night,On,3,Y,N,33,Warming,H,N,0.49,0.025,0.02425,1:27,1:27:00,12.5,-20.5,25.78,1.52,0,7.13,7.3,2033.8,2013.839567,0.365498419,0.227211876,2033.8,2013.839567,0.199,0,0.199,1.13,1.24,9/21/19 1:27,-23.15054,2.5,-0.114653,-0.919,0.712,-0.19,25.378887,0.256976769,149.3412099,3501.737324,3514.890706,3501.737324,1977.839351,14.25306814,2141.43363,2013.839567,0.222738475,0.358302401
2494,9/21/19,September,2019,Night,On,3,Y,N,35,CO2 Addition,N,C,0.23,0.009,0.00825,1:31,1:31:00,12.4,-26.4,24.45,4.12,0,7.24,7.15,2076.23,2055.853144,0.462305654,0.285593883,2076.23,2055.853144,0.0369,0,0.0369,0.784,0.17,9/21/19 1:31,-38.894492,2.5,-0.6787,-1.318,0.14,-0.09,39.813792,0.292189957,120.2992203,2790.602858,2801.090377,2790.602858,2011.571893,17.92144431,2149.792557,2055.853144,0.2803008,0.453737468
2495,9/21/19,September,2019,Night,On,3,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01875,1:34,1:34:00,12.6,-19.2,28.55,6.17,0,7.11,7.3,2126.39,2105.520856,0.389269411,0.244714845,2126.39,2105.520856,0,0,0,0.438,0.49,9/21/19 1:34,43.597874,2.466666667,-0.520678,-0.184,0.133,-0.52,-43.668552,-0.771760516,157.6290622,3766.613357,3780.747611,3766.613357,2067.200631,15.38989536,2240.219588,2105.520856,0.239553072,0.381058548
2476,9/21/19,September,2019,Night,On,3,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00725,0:32,0:32:00,12.7,-46,25.32,1.78,0,7.58,7.22,2025.89,2006.007198,0.991965335,0.61563006,2025.89,2006.007198,0.785,0,0.785,2.95,4.7,9/21/19 0:32,42.122497,2.733333333,0.244575,-0.535,1.8,0.18,-37.742922,-0.269508809,51.18663345,1204.747876,1209.250277,1204.747876,1908.480361,38.56771243,1998.234706,2006.007198,0.603404466,0.972266221
2477,9/21/19,September,2019,Night,On,3,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02725,0:35,0:35:00,12.7,-32.6,24.22,2.46,0,7.34,7.05,2074.17,2053.813361,0.582109249,0.359413868,2074.17,2053.813361,0.0765,0,0.0765,1.42,3.18,9/21/19 0:35,31.121535,2.7,-1.77296,0.274,0.38,-0.28,-32.408495,-0.371787454,94.50387851,2210.448101,2218.718125,2210.448101,1997.78142,22.52202217,2114.80732,2053.813361,0.352685921,0.571212616
2478,9/21/19,September,2019,Night,On,3,Y,N,8,Warming,H,N,0.23,0.007,0.00625,0:38,0:38:00,12,-31.5,20.23,3.51,0,7.33,7.25,1969.73,1950.398372,0.477749113,0.288360476,1969.73,1950.398372,0.209,0,0.209,1.59,4.02,9/21/19 0:38,-55.173144,2.683333333,-0.634,0.982,0.706,-0.25,54.969144,0.284735861,99.54912163,2225.65189,2234.05419,2225.65189,1905.389012,18.15755368,2023.095688,1950.398372,0.283854931,0.470284427
2479,9/21/19,September,2019,Night,On,3,Y,N,9,CO2 Addition,N,C,0.135,0.003,0.00225,0:42,0:42:00,12.1,-30.8,10.76,3.35,0,7.32,7.17,1612.68,1596.852587,0.298753577,0.169616345,1612.68,1596.852587,3.14,0.023,3.117,2.11,14.14,9/21/19 0:42,-472.99188,2.683333333,-0.04716,-0.88,-0.74,0.42,472.34472,1.500647977,97.54226002,2073.084755,2080.899716,2073.084755,1570.630915,10.64244198,1678.815617,1596.852587,0.166798594,0.293790534