Sample,Date,Month,Year,DayNight,OnOff,Timepoint,Completed,MissingT,Pool,Treatment,Heat,CO2,SA,Volume,DeltaVolume,Time.water.collected,Time.water.collected2,Temp,HannapH_raw,Salinity,DO,Light,HannapH,Raw.TA,CorrectedTA,CorrectedNN,CorrectedNitrite,CalculatedNitrate,Phosphate,NH4
2199,7/8/19,July,2019,Day,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,9:38,9:38:00,16.3,-36,30.17,10.07,213,7.38,1903.49,1918.442004,1.03,0.0973,0.9327,1.14,6.519553073
2198,7/8/19,July,2019,Day,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,9:33,9:33:00,16.6,-80.1,30.35,11.39,232,8.14,1942.98,1941.286299,0.196,0,0.196,0.0543,2.608938547
2197,7/8/19,July,2019,Day,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,9:30,9:30:00,16.6,-59.2,30.3,7.54,183,7.78,1955.42,1953.715455,0.55,0.136,0.414,0.716,4.173184358
2196,7/8/19,July,2019,Day,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,9:25,9:25:00,16.3,-11.4,30.25,3.64,112,6.95,1953.68,1951.976972,3.48,0.378,3.102,4.36,19.98324022
2195,7/8/19,July,2019,Day,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,9:21,9:21:00,16,-71,30.24,9.18,132,7.99,1734.24,1747.862537,1.89,0.0214,1.8686,1.2,5.804469274
2194,7/8/19,July,2019,Day,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,9:15,9:15:00,16.1,-70.6,30.47,8.19,186,7.98,1865.69,1880.345083,0.527,0.0118,0.5152,0.312,1.770949721
2193,7/8/19,July,2019,Day,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,9:10,9:10:00,16.2,-71.1,30.39,9.97,106,7.99,1922.06,1920.384535,1.43,0.367,1.063,0.912,2.888268156
2192,7/8/19,July,2019,Day,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,9:06,9:06:00,16.2,-12.5,30.46,8.57,167,6.97,2141.68,2139.813092,2.15,0.0067,2.1433,1.43,6.865921788
2191,7/8/19,July,2019,Day,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,9:02,9:02:00,16,-55.7,30.31,6.6,98,7.72,1958.69,1974.075603,1.15,0,1.15,0.416,4.575418994
2186,7/8/19,July,2019,Day,On,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,8:37,8:37:00,16.3,-27.2,30.34,8.15,127,7.23,2374.75,2372.679924,0.0939,0,0.0939,0.319,2.578651685
2183,7/8/19,July,2019,Day,On,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,8:24,8:24:00,16.3,-66.8,30.46,8.44,106,7.92,1898.96,1913.876421,-0.583,0,0,0.459,6.117977528
2182,7/8/19,July,2019,Day,On,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,8:16,8:16:00,16.7,-47.3,30.19,5.18,113,7.57,2055.14,2071.283222,0.658,0,0.658,0.812,4.843930636
2181,7/8/19,July,2019,Day,On,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,8:11,8:11:00,17.3,-13.2,32.24,2.91,98,6.98,2923.47,2920.921604,-0.942,0,0,0.573,3.803468208
2180,7/8/19,July,2019,Day,On,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,8:07,8:07:00,17.6,15.6,33.49,2.85,103,6.48,5197.68,5238.508022,0.604,0,0.604,1.32,2.508379888
1808,3/30/19,March,2019,Day,Off,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,12:33,12:33:00,10.5,-95.2,32.2,14.99,670,8.72,1752.59,1749.71,13.5,0.391,13.109,10.1,7.17
1810,3/30/19,March,2019,Day,Off,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,12:45,12:45:00,9.3,-123.4,31.94,14.75,697,9.23,1382.26,1379.38,2.71,0,2.71,1.55,1.086
1811,3/30/19,March,2019,Day,Off,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,12:50,12:50:00,10.8,-121.6,31.82,19.92,229,9.19,1704.02,1701.14,3.88,0,3.88,1.83,1.552
1812,3/30/19,March,2019,Day,Off,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,12:53,12:53:00,7.7,-50.3,29.69,8.1,127,7.93,1965.16,1962.28,52,9.41,42.59,6.13,28.988
1813,3/30/19,March,2019,Day,Off,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,12:57,12:57:00,8.7,-89.6,31.33,15.74,251,8.63,1740.93,1738.05,27.9,2.65,25.25,6.88,8.472
1861,3/31/19,March,2019,Day,Off,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,13:25,13:25:00,9,-95.9,31.95,17.97,924,8.74,1840.6,1837.72,6.96,0,6.96,4.37,8.015
1815,3/30/19,March,2019,Day,Off,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,13:06,13:06:00,8.8,-102.2,31.62,15.69,146,8.86,1520.32,1517.44,8.12,0,8.12,2.92,2.711
1816,3/30/19,March,2019,Day,Off,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,13:10,13:10:00,9.4,-82.3,29.95,13.26,136,8.5,1788.03,1785.15,33,2.83,30.17,5.26,9.945
1817,3/30/19,March,2019,Day,Off,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,13:14,13:14:00,8.1,-85.7,30.89,12.2,158,8.56,1928.62,1925.74,27.6,1.97,25.63,3.18,1.989
1869,3/31/19,March,2019,Day,Off,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,12:55,12:55:00,12.5,-104,31.98,16.99,717,8.86,1753.73,1750.85,0.801,0,0.801,0.752,2.836
1873,3/31/19,March,2019,Day,Off,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,12:42,12:42:00,7.1,-99.4,31.41,16.07,96,8.82,1589.57,1586.69,0.566,0,0.566,0.778,3.621
1875,3/31/19,March,2019,Day,Off,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,12:36,12:36:00,9.9,-91.1,33.03,14.5,971,8.65,1169.08,1166.2,0.9,0,0.9,2.6,5.234
1877,3/31/19,March,2019,Day,Off,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,12:29,12:29:00,8.5,-102.2,32.03,15.15,92,8.86,1373.04,1370.16,0,0,0,0.798,6.182
1878,3/31/19,March,2019,Day,Off,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,12:25,12:25:00,7.7,-104.1,31.56,13.6,86,8.9,1518.36,1515.48,0,0,0,0.0654,2.977
2497,9/19/19,September,2019,Day,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,8:36,8:36:00,13.4,-17.2,25.85,4.6,36,7.07,2017.8,1997.996596,1.56281,0.236576,1.326234,1.68,7.673
2498,9/19/19,September,2019,Day,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,8:32,8:32:00,13.3,-45.6,27.89,5.5,62,7.57,1973.03,1953.665985,1.56918,0.216192,1.352988,1.15,5.037
2499,9/19/19,September,2019,Day,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,8:28,8:28:00,13.2,-48.7,27.41,7.07,80,7.62,1961.21,1941.961991,2.35269,0.334037,2.018653,1.22,6.733
2500,9/19/19,September,2019,Day,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,8:24,8:24:00,13.3,-25.1,23.33,5.2,18,7.21,2129.47,2108.570627,1.37808,0.325119,1.052961,2.08,11.82
2501,9/19/19,September,2019,Day,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,8:20,8:20:00,13.4,-44.8,27.7,3.64,31,7.55,2048.46,2028.355688,0.87485,0.302187,0.572663,0.958,6.271
2502,9/19/19,September,2019,Day,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,8:16,8:16:00,13.5,-47.7,28.82,3.03,43,7.6,2367.15,2343.917952,1.5437,0.215555,1.328145,0.715,4.697
2503,9/19/19,September,2019,Day,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,8:13,8:13:00,13.5,-53.2,29.33,5.63,37,7.7,2036.42,2016.433853,0.74745,0.286262,0.461188,0.724,4.88
2504,9/19/19,September,2019,Day,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,8:10,8:10:00,13.4,-44.2,23.81,4.61,19,7.54,2120.23,2099.421312,2.25077,0.300913,1.949857,1.12,8.603
2505,9/19/19,September,2019,Day,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,8:06,8:06:00,13.5,-51.6,27.07,5.69,28,7.67,2035.03,2015.057495,0.91944,0.260782,0.658658,1.08,7.397
2510,9/19/19,September,2019,Day,On,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,7:48,7:48:00,13.3,-55.3,26.95,6.67,15,7.74,1963.35,1944.080988,0.489465,0.239124,0.250341,0.693,2.726
2513,9/19/19,September,2019,Day,On,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,7:36,7:36:00,13.4,-35.3,22.37,2.79,10,7.39,1848.76,1830.615615,0.91307,0.365887,0.547183,1.09,9.316
2514,9/19/19,September,2019,Day,On,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,7:33,7:33:00,13.4,-57.9,27.28,6.45,11,7.78,1999.83,1980.20296,0.494561,0.229569,0.264992,0.598,4.006
2515,9/19/19,September,2019,Day,On,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,7:29,7:29:00,13.3,-62.3,26.62,7.88,15,7.86,2000.44,1993.619918,0.321934,0.258234,0.0637,0.397,1.514
2516,9/19/19,September,2019,Day,On,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,7:26,7:26:00,13.4,-71.5,29.38,8.04,10,8.02,2013.69,2006.824745,0.500931,0.218103,0.282828,0.414,2.569
2257,7/9/19,July,2019,Night,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,22:45,22:45:00,15.5,-24.2,30.48,3.29,0,7.18,2075.71,2055.338247,1.62,0.311,1.309,0.851,7.972067039
2256,7/9/19,July,2019,Night,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,22:49,22:49:00,15.6,-56.5,30.55,6.25,0,7.74,2087.66,2067.170966,0.497,0,0.497,0.853,3.167597765
2255,7/9/19,July,2019,Night,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,22:53,22:53:00,15.6,-53.3,30.57,5.22,0,7.69,2089.47,2087.648604,0.558,0.0474,0.5106,0.84,3.837988827
2254,7/9/19,July,2019,Night,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,22:57,22:57:00,15.5,-20.9,30.4,2.87,0,7.12,2065.76,2063.959272,2.68,0.282,2.398,3.36,17.07821229
2253,7/9/19,July,2019,Night,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,23:02,23:02:00,15.3,-28.5,30.37,1.82,0,7.25,2041.46,2021.424389,0.672,0,0.672,1.01,2.284916201
2252,7/9/19,July,2019,Night,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,23:07,23:07:00,15.4,-37.2,30.52,2.84,0,7.41,2121.98,2101.154137,0.366,0.125,0.241,1.06,2.720670391
2251,7/9/19,July,2019,Night,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,23:11,23:11:00,15.6,-46.5,30.46,5.17,0,7.57,2059.46,2039.24773,1.2,0.112,1.088,0.612,2.329608939
2250,7/9/19,July,2019,Night,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,23:14,23:14:00,15.4,3.1,31,2.81,0,6.7,2333.58,2310.67742,0.706,0,0.706,1.58,2.396648045
2249,7/9/19,July,2019,Night,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,23:20,23:20:00,15.5,-32.4,30.51,3,0,7.32,2311.5,2288.814121,4.97,0.135,4.835,1.27,7.703910615
2244,7/9/19,July,2019,Night,On,1,N,T2,27,CO2,N,C,0.28,0.0125,0.01225,23:41,23:41:00,15.9,-21.2,30.48,5.87,0,7.12,2121.73,2100.90659,0.212,0.000709,0.211291,0.342,2.466292135
2294,7/10/19,July,2019,Night,On,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,23:28,23:28:00,16.2,-36.4,29.57,3.37,0,7.39,1943.65,1958.917463,2.36,0.0445,2.3155,0.901,8.365168539
2293,7/10/19,July,2019,Night,On,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,23:23,23:23:00,16.2,-40.2,29.59,3.6,0,7.45,1961.72,1977.129403,0.331,0,0.331,0.459,4.843930636
2292,7/10/19,July,2019,Night,On,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,23:19,23:19:00,16.9,-18.6,31.08,6.98,0,7.07,3131.61,3156.208945,0.585,0,0.585,0.269,0.971098266
2291,7/10/19,July,2019,Night,On,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,23:14,23:14:00,17,-7,31.65,7.63,0,6.87,3569.58,3597.61922,0.796,0,0.796,1.81,3.569832402
1760,3/27/19,March,2019,Night,Off,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,21:32,21:32:00,8.5,-73.6,30.47,8.5,0,8.35,1718.17,1742.405,1,0,1,1.25,7.89
1761,3/27/19,March,2019,Night,Off,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,20:21,20:21:00,8.4,-90.1,30.5,12.4,0,8.64,1725.18,1749.415,0.329,0,0.329,1.13,5.746
1762,3/27/19,March,2019,Night,Off,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,21:17,21:17:00,8.5,-86.7,30.59,9.84,0,8.58,1790.15,1814.385,0.408,0,0.408,0.783,4.956
1763,3/27/19,March,2019,Night,Off,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,21:04,21:04:00,7.9,-51.8,30.45,8.21,0,7.96,1858.79,1883.025,7.85,0.239,7.611,2.31,13.896
1764,3/27/19,March,2019,Night,Off,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,20:59,20:59:00,7.9,-59.6,30.62,8.35,0,8.1,1744.58,1768.815,7.34,0.145,7.195,2.2,12.881
1765,3/27/19,March,2019,Night,Off,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,20:53,20:53:00,8.2,-78.1,30.51,9.23,0,8.43,1582.6,1606.835,2.06,0,2.06,1.49,10.283
1766,3/27/19,March,2019,Night,Off,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,20:46,20:46:00,8.8,-82.6,30.44,10.53,0,8.5,1807.46,1831.695,2.75,0,2.75,1.61,6.618
1768,3/27/19,March,2019,Night,Off,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,20:34,20:34:00,9.7,-69.1,30.82,9.41,0,8.26,1856.3,1880.535,5.26,0,5.26,1.58,7.64
1769,3/27/19,March,2019,Night,Off,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,20:29,20:29:00,8.4,-70.5,30.03,9.99,0,8.29,1922.32,1946.555,4.06,0,4.06,1.79,7.915
1692,3/26/19,March,2019,Night,Off,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,20:51,20:51:00,8.1,-84.3,31.71,11.3,0,8.54,1957.43,1981.665,0.561,0,0.561,0.768,1.99
1696,3/26/19,March,2019,Night,Off,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,20:26,20:26:00,7.8,-85.5,31.39,11.93,0,8.56,1819.54,1843.775,0.805,0,0.805,1.2,5.517
1698,3/26/19,March,2019,Night,Off,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,20:15,20:15:00,8.6,-79.1,31.8,10.32,0,8.44,1657.82,1682.055,0.893,0,0.893,1.45,7.562
1700,3/26/19,March,2019,Night,Off,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,20:05,20:05:00,8.2,-90.4,31.82,11.59,0,8.65,1742.53,1766.765,0.432,0,0.432,0.969,2.825
1701,3/26/19,March,2019,Night,Off,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,20:01,20:01:00,8,-98.4,31.22,15.59,0,8.79,1953.86,1978.095,1.51,0,1.51,0.772,6.93
2434,9/21/19,September,2019,Night,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,21:48,21:48:00,12.6,-35.7,29.79,3.11,0,7.4,1983.35,1963.884701,0.540425,0.219377,0.321048,1.15,5.235
2435,9/21/19,September,2019,Night,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,21:53,21:53:00,12.8,-48.4,29.87,4.77,0,7.62,2042.74,2022.691826,1.84946,0.241035,1.608425,1.04,2.906
2436,9/21/19,September,2019,Night,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,21:57,21:57:00,12.6,-45.9,29.89,4.88,0,7.58,2025.45,2005.571516,0.843,0.228295,0.614705,0.884,3.038
2437,9/21/19,September,2019,Night,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,22:01,22:01:00,12.9,-7.5,29.62,1.63,0,6.9,2090.36,2069.844467,3.18716,0.507938,2.679222,2.85,15.02
2438,9/21/19,September,2019,Night,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,22:06,22:06:00,12.7,-30,29.77,3.72,0,7.3,2032.99,2013.037516,1.21246,0.313653,0.898807,1.26,4.116
2439,9/21/19,September,2019,Night,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,22:10,22:10:00,12.7,-36.6,29.92,3.67,0,7.41,2030.21,2010.2848,0.646167,0.313016,0.333151,1.04,3.346
2440,9/21/19,September,2019,Night,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,22:14,22:14:00,13.1,-50.7,29.66,5.04,0,7.66,2049.79,2029.672635,1.42267,0.384997,1.037673,0.563,2.583
2441,9/21/19,September,2019,Night,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,22:17,22:17:00,12.1,-43.1,12.8,3.72,0,7.53,1642.65,1626.528451,3.59484,0.335948,3.258892,1.29,4.044
2442,9/21/19,September,2019,Night,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,22:21,22:21:00,12.9,-41.8,22.95,4.97,0,7.5,2034.87,2014.899065,0.85574,0.285625,0.570115,0.505,2.531
2447,9/21/19,September,2019,Night,On,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,22:40,22:40:00,12.5,-48.4,27.12,5.33,0,7.62,2039.92,2019.899503,0.637886,0.237213,0.400673,0.634,1.85
2450,9/21/19,September,2019,Night,On,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,22:53,22:53:00,12.6,-33.1,19.48,3.5,0,7.35,1989.3,1969.776305,0.706682,0.28244,0.424242,1.56,7.36
2451,9/21/19,September,2019,Night,On,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,22:57,22:57:00,12.4,-31.3,25.47,3.75,0,7.32,2057.18,2036.990107,0.313653,0.208548,0.105105,0.418,2.159
2452,9/21/19,September,2019,Night,On,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,23:01,23:01:00,12.2,-31.5,23.14,7.6,0,7.33,2115.51,2094.747636,0.7156,0.244857,0.470743,0.644,1.488
2453,9/21/19,September,2019,Night,On,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,23:06,23:06:00,12.6,-48.5,27.42,6.92,0,7.63,2082.36,2061.922982,0.520678,0.214281,0.306397,0.305,0.674